defname;imagename;group;frame
tbelblak;TBELblaa;0;0
tbelblak;TBELblab;0;1
tbelblak;TBELblac;0;2
tbelblak;TBELblad;0;3
tbelblak;TBELblae;0;4
tbelblak;TBELblaf;0;5
tbelblak;TBELblag;0;6
tbelblak;TBELblah;0;7
tbelblak;TBELblai;0;8
tbelblak;TBELblaj;0;9
tbelblak;TBELblak;0;10
tbelblak;TBELblal;0;11
tbelblak;TBELblam;0;12
tbelblak;TBELblan;0;13
avlxsu12;AVLXsu12;0;0
avlswtr3;AVLswtr3;0;0
avwpeas;AVWpeas1;0;0
avwpeas;AVWpeas2;0;1
avwpeas;AVWpeas3;0;2
avwpeas;AVWpeas4;0;3
avwpeas;AVWpeas5;0;4
avwpeas;AVWpeas4;0;5
avwpeas;AVWpeas5;0;6
avwpeas;AVWpeas4;0;7
avwpeas;AVWpeas3;0;8
avwpeas;AVWpeas2;0;9
avwpeas;AVWpeas1;0;10
avwpeas;AVWpeas1;0;11
avwpeas;AVWpeas1;0;12
avwpeas;AVWpeas1;0;13
avwpeas;AVWpeas1;0;14
avwpeas;AVWpeas1;0;15
avwpeas;AVWpeas1;0;16
avwpeas;AVWpeas1;0;17
avwpeas;AVWpeas1;0;18
avwpeas;AVWpeas1;0;19
avwpeas;AVWpeas1;0;20
avwpeas;AVWpeas1;0;21
avwpeas;AVWpeas1;0;22
avwpeas;AVWpeas1;0;23
avwpeas;AVWpeas1;0;24
cprsmall;CPrSBlk;0;0
cprsmall;CPrSXXX;0;1
cprsmall;CPrS000C;0;2
cprsmall;CPrS001C;0;3
cprsmall;CPrS002C;0;4
cprsmall;CPrS003C;0;5
cprsmall;CPrS004C;0;6
cprsmall;CPrS005C;0;7
cprsmall;CPrS006C;0;8
cprsmall;CPrS007C;0;9
cprsmall;CPrS008C;0;10
cprsmall;CPrS009C;0;11
cprsmall;CPrS010C;0;12
cprsmall;CPrS011C;0;13
cprsmall;CPrS012C;0;14
cprsmall;CPrS013C;0;15
cprsmall;CPrS014R;0;16
cprsmall;CPrS015R;0;17
cprsmall;CPrS016R;0;18
cprsmall;CPrS017R;0;19
cprsmall;CPrS018R;0;20
cprsmall;CPrS019R;0;21
cprsmall;CPrS020R;0;22
cprsmall;CPrS021R;0;23
cprsmall;CPrS022R;0;24
cprsmall;CPrS023R;0;25
cprsmall;CPrS024R;0;26
cprsmall;CPrS025R;0;27
cprsmall;CPrS026R;0;28
cprsmall;CPrS027R;0;29
cprsmall;CPrS028T;0;30
cprsmall;CPrS029T;0;31
cprsmall;CPrS030T;0;32
cprsmall;CPrS031T;0;33
cprsmall;CPrS032T;0;34
cprsmall;CPrS033T;0;35
cprsmall;CPrS034T;0;36
cprsmall;CPrS035T;0;37
cprsmall;CPrS036T;0;38
cprsmall;CPrS037T;0;39
cprsmall;CPrS038T;0;40
cprsmall;CPrS039T;0;41
cprsmall;CPrS040T;0;42
cprsmall;CPrS041T;0;43
cprsmall;CPrS042I;0;44
cprsmall;CPrS043I;0;45
cprsmall;CPrS046I;0;46
cprsmall;CPrS047I;0;47
cprsmall;CPrS044I;0;48
cprsmall;CPrS045I;0;49
cprsmall;CPrS048I;0;50
cprsmall;CPrS049I;0;51
cprsmall;CPrS052I;0;52
cprsmall;CPrS053I;0;53
cprsmall;CPrS050I;0;54
cprsmall;CPrS051I;0;55
cprsmall;CPrS054I;0;56
cprsmall;CPrS055I;0;57
cprsmall;CPrS056N;0;58
cprsmall;CPrS057N;0;59
cprsmall;CPrS058N;0;60
cprsmall;CPrS059N;0;61
cprsmall;CPrS060N;0;62
cprsmall;CPrS061N;0;63
cprsmall;CPrS062N;0;64
cprsmall;CPrS063N;0;65
cprsmall;CPrS064N;0;66
cprsmall;CPrS065N;0;67
cprsmall;CPrS066N;0;68
cprsmall;CPrS067N;0;69
cprsmall;CPrS068N;0;70
cprsmall;CPrS069N;0;71
cprsmall;CPrS070D;0;72
cprsmall;CPrS071D;0;73
